23 三月 2015 | 16:05:37,558 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 10, Priv: 0, Sess: 127.0.0.1:13151 ) , Type: C#MonoOrWin
23 三月 2015 | 16:05:37,810 | INFO  | MPWorker:Ext:3 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:05:37,814 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:05:47,201 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 11, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13150 }
23 三月 2015 | 16:05:47,202 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:05:47,202 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 9, Priv: 0, Sess: 127.0.0.1:13150 ) , SessionLen: 9650, Type: C#MonoOrWin
23 三月 2015 | 16:05:47,202 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:05:47,203 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 10, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13151 }
23 三月 2015 | 16:05:47,203 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 10, Priv: 0, Sess: 127.0.0.1:13151 ) , SessionLen: 9645, Type: C#MonoOrWin
23 三月 2015 | 16:05:47,203 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:05:47,205 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:16:20,345 | INFO  | main | com.mpnet.MPNetServer |     | System CPU(s): 4
23 三月 2015 | 16:16:20,346 | INFO  | main | com.mpnet.MPNetServer |     | VM Max memory: 1882 MB
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | os.name: Windows 7
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | os.arch: amd64
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | os.version: 6.1
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | java.version: 1.7.0_71
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | java.vendor: Oracle Corporation
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | java.vm.version: 24.71-b01
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | java.vm.vendor: Oracle Corporation
23 三月 2015 | 16:16:20,347 | INFO  | main | com.mpnet.MPNetServer |     | java.vm.name: Java HotSpot(TM) 64-Bit Server VM
23 三月 2015 | 16:16:20,445 | INFO  | main | mpnet.core.MPEventManager |     | AnonymousService-0 initalized
23 三月 2015 | 16:16:20,445 | INFO  | main | entities.managers.MPUserManager |     | User service start!
23 三月 2015 | 16:16:20,625 | INFO  | main | mpnet.db.MPDataMappManager |     | Data mapping Manager active
23 三月 2015 | 16:16:20,625 | INFO  | main | mpnet.db.MPDBManager |     | Data base Manager active
23 三月 2015 | 16:16:20,630 | INFO  | main | com.mpnet.MPNetServer |     | Protocol Type is: BINARY
23 三月 2015 | 16:16:20,630 | INFO  | main | bitswarm.core.BitSwarmEngine |     | Bit Swarm Engine!
23 三月 2015 | 16:16:20,631 | INFO  | main | bitswarm.core.BitSwarmEngine |     | BitSwarmEngine :  { main }
23 三月 2015 | 16:16:20,635 | INFO  | main | bitswarm.core.BitSwarmEngine |     | Session manager ready: com.mpnet.bitswarm.sessions.DefaultSessionManager@c0b4fdc
23 三月 2015 | 16:16:20,649 | INFO  | main | bitswarm.core.SocketReader |     | TCP Selector opened
23 三月 2015 | 16:16:20,655 | INFO  | main | bitswarm.core.DatagramReader |     | UDP Selector opened
23 三月 2015 | 16:16:20,657 | INFO  | main | bitswarm.core.SocketAcceptor |     | AcceptSelector opened
23 三月 2015 | 16:16:20,661 | INFO  | main | bitswarm.core.SocketAcceptor |     | Added bound tcp socket --> 127.0.0.1:9934
23 三月 2015 | 16:16:20,663 | INFO  | main | bitswarm.core.SocketAcceptor |     | Added bound udp socket --> 127.0.0.1:9934
23 三月 2015 | 16:16:20,664 | INFO  | main | mpnet.controllers.SystemController |     | Controller started: com.mpnet.controllers.SystemController 
23 三月 2015 | 16:16:20,665 | INFO  | main | mpnet.controllers.ExtensionController |     | Controller started: com.mpnet.controllers.ExtensionController 
23 三月 2015 | 16:16:20,665 | INFO  | main | bitswarm.core.SocketReader |     | IOHandler: com.mpnet.bitswarm.io.protocols.MPIoHandler@6e63f7c7
23 三月 2015 | 16:16:20,666 | INFO  | main | bitswarm.core.SocketReader |     | SocketReader started
23 三月 2015 | 16:16:20,666 | INFO  | main | bitswarm.core.SocketAcceptor |     | SocketAcceptor initialized
23 三月 2015 | 16:16:20,666 | INFO  | main | bitswarm.core.SocketWriter |     | Socket Writer started (pool size:3)
23 三月 2015 | 16:16:20,666 | INFO  | main | bitswarm.core.DatagramReader |     | DatagramReader started
23 三月 2015 | 16:16:20,667 | INFO  | Scheduler1-thread-1 | bitswarm.core.BitSwarmEngine |     | Scheduler started: scheduler
23 三月 2015 | 16:16:20,669 | INFO  | main | com.mpnet.MPNetServer |     | Listening Sockets: (Tcp)127.0.0.1[9934] (Udp)127.0.0.1[9934] 
23 三月 2015 | 16:16:20,669 | INFO  | main | com.mpnet.MPNetServer |     | 

==============================================================================
>>Server(1.0.0) ready!
============================================================================== 

23 三月 2015 | 16:16:26,209 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 1, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13470 } on Server linkPort: 9934 <---> 13470
23 三月 2015 | 16:16:26,214 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 2, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13469 } on Server linkPort: 9934 <---> 13469
23 三月 2015 | 16:16:26,296 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg1, Id: 0, Priv: 0, Sess: 127.0.0.1:13469 ) , Type: C#MonoOrWin
23 三月 2015 | 16:16:26,306 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 1, Priv: 0, Sess: 127.0.0.1:13470 ) , Type: C#MonoOrWin
23 三月 2015 | 16:16:26,568 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:16:26,573 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:16:27,702 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 1, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13470 }
23 三月 2015 | 16:16:27,706 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 1, Priv: 0, Sess: 127.0.0.1:13470 ) , SessionLen: 1399, Type: C#MonoOrWin
23 三月 2015 | 16:16:27,706 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:16:27,706 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:16:27,709 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 2, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13469 }
23 三月 2015 | 16:16:27,710 | INFO  | MPWorker:Ext:3 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:16:27,711 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 0, Priv: 0, Sess: 127.0.0.1:13469 ) , SessionLen: 1414, Type: C#MonoOrWin
23 三月 2015 | 16:16:27,711 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:16:30,253 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 3, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13475 } on Server linkPort: 9934 <---> 13475
23 三月 2015 | 16:16:30,253 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 4, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13474 } on Server linkPort: 9934 <---> 13474
23 三月 2015 | 16:16:30,360 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 2, Priv: 0, Sess: 127.0.0.1:13474 ) , Type: C#MonoOrWin
23 三月 2015 | 16:16:30,361 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg1, Id: 3, Priv: 0, Sess: 127.0.0.1:13475 ) , Type: C#MonoOrWin
23 三月 2015 | 16:16:30,656 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:16:30,661 | INFO  | MPWorker:Ext:3 | Extensions |     | {extension - test }: hello server 
